model,mean_accuracy,std_accuracy,mean_f1_macro,std_f1_macro,time
SVM,0.5936566332218506,0.015357478530642286,0.45982572074032113,0.027180839176800385,0 days 00:00:00.166704
Logistic Regression,0.587989966555184,0.014723947945859144,0.4468148041741018,0.02194951969827086,0 days 00:00:00.972574
Gradient Boosting,0.5872965440356743,0.015487566325461322,0.49546452350147635,0.013784328243832761,0 days 00:00:00.409681
Naive Bayes,0.581974358974359,0.0251640466592015,0.5169132200508721,0.030272808712922785,0 days 00:00:00.397071
Random Forest,0.5749397993311036,0.02213899771253016,0.5378242943076277,0.021559804735708343,0 days 00:00:00.988962
