model,mean_accuracy,std_accuracy,mean_f1_macro,std_f1_macro,time
Random Forest,0.8373801560758082,0.014269322212291683,0.8308136938233049,0.015899929270904296,0 days 00:00:00.936975
SVM,0.8350445930880713,0.019842907825361637,0.8263935919062944,0.021522337760586964,0 days 00:00:00.106236
Gradient Boosting,0.8343790412486065,0.018407499176844238,0.8281282762250834,0.019693514026843082,0 days 00:00:00.715036
Logistic Regression,0.8283690078037903,0.02711232940535859,0.8192221266391371,0.029184421739412676,0 days 00:00:01.075302
Naive Bayes,0.8113467112597548,0.02063976629645046,0.8037347485700034,0.02178907435964821,0 days 00:00:00.416978
