model,mean_accuracy,std_accuracy,mean_f1_macro,std_f1_macro,time
SVM,0.8373801560758082,0.02172675862119089,0.8292063742651866,0.023481064348444842,0 days 00:00:00.109536
Random Forest,0.8370501672240804,0.016201095427951034,0.8303549852465201,0.018092520512391786,0 days 00:00:00.598713
Gradient Boosting,0.8357157190635451,0.021920178577600594,0.8295449047960917,0.02345961752687811,0 days 00:00:00.975855
Logistic Regression,0.8280356744704571,0.023207473722654696,0.8184420214039282,0.02578518498491996,0 days 00:00:01.113450
Naive Bayes,0.8020022296544036,0.02468653288255926,0.7946355224673944,0.026499001085553725,0 days 00:00:00.458411
